Date,Close,High,Low,Open,Volume
1/2/2024,7323.587891,7323.587891,7245.565918,7268.397949,121359000
1/3/2024,7279.09082,7321.878906,7275.874023,7316.108887,159498400
1/4/2024,7359.763184,7371.234863,7280.407227,7290.064941,155674900
1/5/2024,7350.619141,7403.578125,7350.619141,7376.288086,163057200
1/8/2024,7283.575195,7393.131836,7275.170898,7362.046875,140602400
1/9/2024,7200.203125,7311.638184,7180.157227,7299.783203,152570700
1/10/2024,7227.296875,7259.601074,7152.87793,7187.580078,152699300
1/11/2024,7219.963867,7277.500977,7219.963867,7253.456055,190523900
1/12/2024,7241.138184,7271.87207,7205.758789,7242.367188,152196500
1/15/2024,7224.000977,7281.26123,7206.307129,7254.044922,132959600
1/16/2024,7242.787109,7268.178223,7210.028809,7231.63916,130295500
1/17/2024,7200.634766,7252.457031,7162.484863,7248.01416,202143100
1/18/2024,7252.966797,7267.080078,7185.378906,7198.850098,158921700
1/19/2024,7227.401855,7277.979004,7170.805176,7271.341797,137359600
1/22/2024,7247.928223,7247.928223,7194.951172,7233.172852,141722200
1/23/2024,7256.229004,7256.229004,7201.829102,7232.516113,132610200
1/24/2024,7227.823242,7271.958008,7170.297852,7255.77002,128902300
1/25/2024,7178.041992,7253.720215,7176.111816,7215.526855,130391900
1/26/2024,7137.087891,7166.689941,7099.083984,7152.269043,140214300
1/29/2024,7157.174805,7177.696777,7115.036133,7147.714844,160408500
1/30/2024,7192.21582,7213.188965,7133.61377,7147.23584,182161800
1/31/2024,7207.940918,7247.518066,7192.644043,7213.307129,170270400
2/1/2024,7201.695801,7248.529785,7191.694824,7221.852051,157409100
2/2/2024,7238.785156,7238.785156,7180.356934,7221.900879,114364900
2/5/2024,7198.615234,7254.088867,7186.170898,7237.334961,137325900
2/6/2024,7247.408203,7268.131836,7212.140137,7230.148926,138020300
2/7/2024,7235.151855,7285.12793,7225.449219,7264.976074,138054800
2/12/2024,7297.668945,7306.158203,7250.310059,7268.334961,178661300
2/13/2024,7209.741211,7301.587891,7197.827148,7301.587891,128287400
2/15/2024,7303.280762,7365.682129,7298.481934,7337.630859,184420400
2/16/2024,7335.544922,7370.569824,7314.882813,7337.815918,146427800
2/19/2024,7296.702148,7339.755859,7277.537109,7323.312012,151238000
2/20/2024,7352.601074,7354.10791,7309.498047,7320.723145,129972000
2/21/2024,7349.020996,7370.881836,7286.669922,7345.791016,152570100
2/22/2024,7339.63623,7365.76123,7321.522949,7334.952148,154523800
2/23/2024,7295.095215,7340.189941,7262.100098,7326.526855,146259500
2/26/2024,7283.823242,7295.14209,7252.28418,7277.640137,147080400
2/27/2024,7285.316895,7292.931152,7255.124023,7263.987793,183851000
2/28/2024,7328.63623,7328.73877,7289.257813,7292.075195,220356500
2/29/2024,7316.11084,7337.922852,7289.341797,7326.803223,230050900
3/1/2024,7311.907227,7331.315918,7269.894043,7318.666016,134622000
3/4/2024,7276.749023,7328.384766,7259.780762,7318.832031,168064100
3/5/2024,7247.459961,7305.446777,7238.338867,7296.53418,152811800
3/6/2024,7329.800781,7331.081055,7248.527832,7252.084961,180285900
3/7/2024,7373.963867,7386.874023,7334.308105,7338.731934,193312700
3/8/2024,7381.907227,7416.433105,7376.155762,7398.429199,125243200
3/13/2024,7421.207031,7441.616211,7392.01123,7422.301758,135225800
3/14/2024,7433.314941,7454.448242,7380.647949,7405.566895,129206200
3/15/2024,7328.054199,7416.338867,7308.035156,7408.658203,231480500
3/18/2024,7302.449219,7358.550781,7300.940918,7338.076172,155334600
3/19/2024,7336.746094,7361.529785,7314.180176,7320.538086,137594400
3/20/2024,7331.12793,7343.459961,7295.350098,7303.929199,169731600
3/21/2024,7338.353027,7396.471191,7336.595215,7360.558105,139792200
3/22/2024,7350.151855,7350.151855,7318.436035,7327.51416,123735900
3/25/2024,7377.759766,7377.759766,7316.929199,7339.523926,124315600
3/26/2024,7365.664063,7371.844238,7330.463867,7337.661133,138442500
3/27/2024,7310.091797,7375.399902,7292.797852,7364.230957,125276700
3/28/2024,7288.812988,7313.01416,7244.954102,7289.158203,124084200
4/1/2024,7205.061035,7295.00293,7137.463867,7286.11377,124345600
4/2/2024,7236.983887,7236.983887,7153.938965,7199.124023,127711500
4/3/2024,7166.844238,7226.353027,7158.740234,7214.02002,111040300
4/4/2024,7254.398926,7254.398926,7165.831055,7170.719238,108900300
4/5/2024,7286.881836,7298.858887,7239.273926,7245.321777,94886600
4/16/2024,7164.807129,7188.088867,7066.573242,7130.62793,175642500
4/17/2024,7130.84082,7234.374023,7130.84082,7199.830078,143541300
4/18/2024,7166.813965,7180.559082,7135.52002,7151.737793,129376600
4/19/2024,7087.316895,7141.581055,7036.206055,7131.455078,150694500
4/22/2024,7073.819824,7117.023926,7026.477051,7099.51709,121595900
4/23/2024,7110.812988,7165.954102,7099.841797,7102.808105,172892100
4/24/2024,7174.533203,7191.176758,7126.850098,7127.047852,154056000
4/25/2024,7155.293945,7177.064941,7132.102051,7167.983887,140400000
4/26/2024,7036.075195,7149.253906,7036.075195,7137.934082,137603900
4/29/2024,7155.78418,7155.78418,7021.492188,7021.492188,129998600
4/30/2024,7234.196777,7266.868164,7179.685059,7187.414063,156560600
5/2/2024,7117.424805,7232.952148,7072.474121,7227.60791,145628700
5/3/2024,7134.724121,7165.102051,7094.616211,7142.86377,159524500
5/6/2024,7135.890137,7178.76709,7102.685059,7171.589844,164988900
5/7/2024,7123.611816,7159.76709,7108.175781,7136.852051,148490800
5/8/2024,7088.794922,7164.308105,7071.345215,7129.456055,147871800
5/13/2024,7099.26123,7111.599121,7052.22998,7061.373047,134590500
5/14/2024,7083.763184,7136.640137,7071.501953,7095.521973,137468100
5/15/2024,7179.831055,7192.14502,7082.118164,7085.378906,139854300
5/16/2024,7246.695801,7270.756836,7201.915039,7203.169922,154713600
5/17/2024,7317.237793,7356.714844,7245.195801,7249.727051,181505100
5/20/2024,7266.690918,7374.546875,7243.012207,7329.399902,158071100
5/21/2024,7186.037109,7295.056152,7179.528809,7258.411133,135589400
5/22/2024,7222.381836,7239.861816,7191.105957,7198.192871,135720300
5/27/2024,7176.419922,7256.184082,7171.48584,7219.981934,190885600
5/28/2024,7253.625977,7308.137207,7228.411133,7228.507813,166427200
5/29/2024,7140.229004,7282,7127.208984,7275.529785,144619600
5/30/2024,7034.14209,7134.707031,6984.979004,7125.771973,177693800
5/31/2024,6970.73584,7102.219238,6959.227051,7076.373047,269684600
6/3/2024,7036.190918,7088.400879,6993.094238,7030.207031,141774800
6/4/2024,7099.312012,7149.192871,7065.03418,7071.094238,160663800
6/5/2024,6947.669922,7118.349121,6934.942871,7114.535156,137116300
6/6/2024,6974.896973,7032.574219,6939.545898,6992.562988,129986000
6/7/2024,6897.950195,6994.115234,6887.812012,6987.793945,109886700
6/10/2024,6921.547852,6929.097168,6846.380859,6910.720215,228419200
6/11/2024,6855.690918,6932.461914,6855.690918,6900.310059,150124200
6/12/2024,6850.097168,6866.266113,6821.507813,6859.349121,165086100
6/13/2024,6831.563965,6896.652832,6831.563965,6893.84082,154352200
6/14/2024,6734.832031,6840.196777,6713.271973,6829.993164,143790500
6/19/2024,6726.918945,6791.526855,6698.848145,6739.89502,215680300
